Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;7;0.87;0.50;0.04;Naive Bayes;no feature selection;Smote;6.00;7.00;656.00;24.00;0.46;0.20;0.77;0.26
BOOKKEEPER;8;0.90;0.50;0.07;Naive Bayes;no feature selection;Smote;2.00;86.00;564.00;44.00;0.02;0.04;0.69;-0.06
BOOKKEEPER;9;0.96;0.50;0.09;Naive Bayes;no feature selection;Smote;14.00;19.00;289.00;15.00;0.42;0.48;0.87;0.40
MEAN;;;;;;;;28.00;62.44;358.33;50.44;0.44;0.37;0.71;0.19
;
BOOKKEEPER;1;0.44;0.30;0.22;Naive Bayes;Best First;no resample;29.00;80.00;155.00;37.00;0.27;0.44;0.51;0.08
BOOKKEEPER;2;0.55;0.26;0.18;Naive Bayes;Best First;no resample;22.00;23.00;339.00;55.00;0.49;0.29;0.81;0.27
BOOKKEEPER;3;0.69;0.22;0.27;Naive Bayes;Best First;no resample;0.00;0.00;322.00;118.00;0.00;0.00;0.00;0.00
BOOKKEEPER;4;0.76;0.24;0.32;Naive Bayes;Best First;no resample;51.00;5.00;298.00;92.00;0.91;0.36;0.84;0.41
BOOKKEEPER;5;0.81;0.26;0.32;Naive Bayes;Best First;no resample;32.00;2.00;306.00;112.00;0.94;0.22;0.79;0.27
BOOKKEEPER;6;0.77;0.27;0.08;Naive Bayes;Best First;no resample;14.00;61.00;575.00;39.00;0.19;0.26;0.62;0.14
BOOKKEEPER;7;0.81;0.22;0.04;Naive Bayes;Best First;no resample;3.00;23.00;640.00;27.00;0.12;0.10;0.71;0.07
BOOKKEEPER;8;0.84;0.19;0.07;Naive Bayes;Best First;no resample;1.00;81.00;569.00;45.00;0.01;0.02;0.62;-0.08
BOOKKEEPER;9;0.93;0.17;0.09;Naive Bayes;Best First;no resample;1.00;3.00;305.00;28.00;0.25;0.03;0.68;0.04
MEAN;;;;;;;;17.00;30.89;389.89;61.44;0.35;0.19;0.62;0.13
;
BOOKKEEPER;1;0.53;0.50;0.22;Naive Bayes;Best First;Oversampling;56.00;233.00;2.00;10.00;0.19;0.85;0.55;-0.06
BOOKKEEPER;2;0.65;0.50;0.18;Naive Bayes;Best First;Oversampling;17.00;13.00;349.00;60.00;0.57;0.22;0.83;0.24
BOOKKEEPER;3;0.78;0.50;0.27;Naive Bayes;Best First;Oversampling;52.00;74.00;248.00;66.00;0.41;0.44;0.70;0.21
BOOKKEEPER;4;0.83;0.50;0.32;Naive Bayes;Best First;Oversampling;141.00;301.00;2.00;2.00;0.32;0.99;0.83;-0.00
BOOKKEEPER;5;0.86;0.50;0.32;Naive Bayes;Best First;Oversampling;128.00;204.00;104.00;16.00;0.39;0.89;0.78;0.17
BOOKKEEPER;6;0.83;0.50;0.08;Naive Bayes;Best First;Oversampling;50.00;583.00;53.00;3.00;0.08;0.94;0.62;0.00
BOOKKEEPER;7;0.87;0.50;0.04;Naive Bayes;Best First;Oversampling;4.00;15.00;648.00;26.00;0.21;0.13;0.63;0.13
BOOKKEEPER;8;0.90;0.50;0.07;Naive Bayes;Best First;Oversampling;2.00;3.00;647.00;44.00;0.40;0.04;0.69;0.07
BOOKKEEPER;9;0.96;0.50;0.09;Naive Bayes;Best First;Oversampling;13.00;36.00;272.00;16.00;0.27;0.45;0.68;0.25
MEAN;;;;;;;;51.44;162.44;258.33;27.00;0.31;0.55;0.70;0.11
;
BOOKKEEPER;1;0.33;0.50;0.22;Naive Bayes;Best First;Undersampling;59.00;234.00;1.00;7.00;0.20;0.89;0.53;-0.05
BOOKKEEPER;2;0.39;0.50;0.18;Naive Bayes;Best First;Undersampling;39.00;50.00;312.00;38.00;0.44;0.51;0.73;0.35
BOOKKEEPER;3;0.50;0.50;0.27;Naive Bayes;Best First;Undersampling;43.00;21.00;301.00;75.00;0.67;0.36;0.84;0.35
BOOKKEEPER;4;0.60;0.50;0.32;Naive Bayes;Best First;Undersampling;141.00;301.00;2.00;2.00;0.32;0.99;0.82;-0.00
BOOKKEEPER;5;0.68;0.50;0.32;Naive Bayes;Best First;Undersampling;49.00;11.00;297.00;95.00;0.82;0.34;0.86;0.36
BOOKKEEPER;6;0.64;0.50;0.08;Naive Bayes;Best First;Undersampling;50.00;612.00;24.00;3.00;0.08;0.94;0.61;-0.00
BOOKKEEPER;7;0.66;0.50;0.04;Naive Bayes;Best First;Undersampling;6.00;42.00;621.00;24.00;0.13;0.20;0.61;0.11
BOOKKEEPER;8;0.67;0.50;0.07;Naive Bayes;Best First;Undersampling;2.00;100.00;550.00;44.00;0.02;0.04;0.59;-0.07
BOOKKEEPER;9;0.82;0.50;0.09;Naive Bayes;Best First;Undersampling;11.00;38.00;270.00;18.00;0.22;0.38;0.67;0.20
MEAN;;;;;;;;44.44;156.56;264.22;34.00;0.32;0.52;0.70;0.14
;
BOOKKEEPER;1;0.53;0.50;0.22;Naive Bayes;Best First;Smote;56.00;233.00;2.00;10.00;0.19;0.85;0.52;-0.06
