Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;6;0.68;0.50;0.10;Random Forest;no feature selection;no sensitive;Undersampling;50.00;158.00;459.00;22.00;0.24;0.69;0.76;0.24
BOOKKEEPER;7;0.70;0.50;0.08;Random Forest;no feature selection;no sensitive;Undersampling;1.00;14.00;626.00;52.00;0.07;0.02;0.76;-0.00
BOOKKEEPER;8;0.71;0.50;0.09;Random Forest;no feature selection;no sensitive;Undersampling;48.00;117.00;513.00;18.00;0.29;0.73;0.86;0.32
BOOKKEEPER;9;0.85;0.50;0.09;Random Forest;no feature selection;no sensitive;Undersampling;13.00;20.00;288.00;16.00;0.39;0.45;0.80;0.36
MEAN;;;;;;;;55.22;43.67;356.22;44.11;0.49;0.47;0.81;0.34
;
BOOKKEEPER;1;0.33;0.50;0.22;Random Forest;no feature selection;threshold;Undersampling;28.00;19.00;216.00;38.00;0.60;0.42;0.67;0.38
BOOKKEEPER;2;0.39;0.50;0.18;Random Forest;no feature selection;threshold;Undersampling;16.00;17.00;345.00;61.00;0.48;0.21;0.58;0.21
BOOKKEEPER;3;0.50;0.50;0.27;Random Forest;no feature selection;threshold;Undersampling;13.00;24.00;298.00;105.00;0.35;0.11;0.52;0.05
BOOKKEEPER;4;0.60;0.50;0.46;Random Forest;no feature selection;threshold;Undersampling;118.00;3.00;238.00;87.00;0.98;0.58;0.78;0.58
BOOKKEEPER;5;0.70;0.50;0.46;Random Forest;no feature selection;threshold;Undersampling;193.00;6.00;238.00;15.00;0.97;0.93;0.95;0.91
BOOKKEEPER;6;0.68;0.50;0.10;Random Forest;no feature selection;threshold;Undersampling;50.00;158.00;459.00;22.00;0.24;0.69;0.72;0.24
BOOKKEEPER;7;0.70;0.50;0.08;Random Forest;no feature selection;threshold;Undersampling;0.00;20.00;620.00;53.00;0.00;0.00;0.00;0.00
BOOKKEEPER;8;0.71;0.50;0.09;Random Forest;no feature selection;threshold;Undersampling;48.00;111.00;519.00;18.00;0.30;0.73;0.78;0.34
BOOKKEEPER;9;0.85;0.50;0.09;Random Forest;no feature selection;threshold;Undersampling;7.00;10.00;298.00;22.00;0.41;0.24;0.60;0.26
MEAN;;;;;;;;52.56;40.89;359.00;46.78;0.48;0.43;0.62;0.33
;
BOOKKEEPER;1;0.33;0.50;0.22;Random Forest;no feature selection;sensitive learning;Undersampling;20.00;10.00;225.00;46.00;0.67;0.30;0.73;0.32
BOOKKEEPER;2;0.39;0.50;0.18;Random Forest;no feature selection;sensitive learning;Undersampling;32.00;45.00;317.00;45.00;0.42;0.42;0.76;0.29
BOOKKEEPER;3;0.50;0.50;0.27;Random Forest;no feature selection;sensitive learning;Undersampling;8.00;10.00;312.00;110.00;0.44;0.07;0.79;0.05
BOOKKEEPER;4;0.60;0.50;0.46;Random Forest;no feature selection;sensitive learning;Undersampling;129.00;3.00;238.00;76.00;0.98;0.63;0.87;0.63
BOOKKEEPER;5;0.70;0.50;0.46;Random Forest;no feature selection;sensitive learning;Undersampling;196.00;16.00;228.00;12.00;0.92;0.94;0.98;0.88
BOOKKEEPER;6;0.68;0.50;0.10;Random Forest;no feature selection;sensitive learning;Undersampling;50.00;158.00;459.00;22.00;0.24;0.69;0.76;0.24
BOOKKEEPER;7;0.70;0.50;0.08;Random Forest;no feature selection;sensitive learning;Undersampling;1.00;14.00;626.00;52.00;0.07;0.02;0.76;-0.00
BOOKKEEPER;8;0.71;0.50;0.09;Random Forest;no feature selection;sensitive learning;Undersampling;48.00;117.00;513.00;18.00;0.29;0.73;0.86;0.32
BOOKKEEPER;9;0.85;0.50;0.09;Random Forest;no feature selection;sensitive learning;Undersampling;13.00;20.00;288.00;16.00;0.39;0.45;0.80;0.36
MEAN;;;;;;;;55.22;43.67;356.22;44.11;0.49;0.47;0.81;0.34
;
BOOKKEEPER;1;0.51;0.47;0.22;Random Forest;no feature selection;no sensitive;Smote;22.00;9.00;226.00;44.00;0.71;0.33;0.72;0.36
BOOKKEEPER;2;0.61;0.41;0.18;Random Forest;no feature selection;no sensitive;Smote;22.00;23.00;339.00;55.00;0.49;0.29;0.75;0.27
BOOKKEEPER;3;0.76;0.46;0.27;Random Forest;no feature selection;no sensitive;Smote;15.00;13.00;309.00;103.00;0.54;0.13;0.72;0.11
BOOKKEEPER;4;0.82;0.48;0.46;Random Forest;no feature selection;no sensitive;Smote;128.00;4.00;237.00;77.00;0.97;0.62;0.86;0.62
BOOKKEEPER;5;0.84;0.45;0.46;Random Forest;no feature selection;no sensitive;Smote;192.00;6.00;238.00;16.00;0.97;0.92;0.99;0.90
BOOKKEEPER;6;0.82;0.49;0.10;Random Forest;no feature selection;no sensitive;Smote;50.00;158.00;459.00;22.00;0.24;0.69;0.76;0.24
BOOKKEEPER;7;0.85;0.43;0.08;Random Forest;no feature selection;no sensitive;Smote;0.00;7.00;633.00;53.00;0.00;0.00;0.00;0.00
BOOKKEEPER;8;0.89;0.48;0.09;Random Forest;no feature selection;no sensitive;Smote;47.00;114.00;516.00;19.00;0.29;0.71;0.84;0.32
BOOKKEEPER;9;0.95;0.45;0.09;Random Forest;no feature selection;no sensitive;Smote;10.00;17.00;291.00;19.00;0.37;0.34;0.78;0.30
MEAN;;;;;;;;54.00;39.00;360.89;45.33;0.51;0.45;0.72;0.35
;
BOOKKEEPER;1;0.51;0.47;0.22;Random Forest;no feature selection;threshold;Smote;24.00;21.00;214.00;42.00;0.53;0.36;0.64;0.31
BOOKKEEPER;2;0.61;0.41;0.18;Random Forest;no feature selection;threshold;Smote;3.00;5.00;357.00;74.00;0.38;0.04;0.51;0.04
BOOKKEEPER;3;0.76;0.46;0.27;Random Forest;no feature selection;threshold;Smote;11.00;7.00;315.00;107.00;0.61;0.09;0.54;0.10
BOOKKEEPER;4;0.82;0.48;0.46;Random Forest;no feature selection;threshold;Smote;67.00;2.00;239.00;138.00;0.97;0.33;0.66;0.34
BOOKKEEPER;5;0.84;0.45;0.46;Random Forest;no feature selection;threshold;Smote;190.00;4.00;240.00;18.00;0.98;0.91;0.95;0.90
