Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
SYNCOPE;4;0.80;0.00;0.01;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;545.00;5.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.83;0.00;0.13;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;480.00;72.00;0.00;0.00;0.00;0.00
SYNCOPE;6;0.86;0.03;0.07;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;520.00;39.00;0.00;0.00;0.00;0.00
SYNCOPE;7;0.87;0.03;0.07;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;520.00;39.00;0.00;0.00;0.00;0.00
SYNCOPE;8;0.86;0.04;0.04;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.90;0.04;0.05;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;532.00;26.00;0.00;0.00;0.00;0.00
SYNCOPE;10;0.89;0.04;0.04;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;706.00;30.00;0.00;0.00;0.00;0.00
SYNCOPE;11;0.90;0.04;0.04;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;712.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.91;0.04;0.48;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;389.00;354.00;0.00;0.00;0.00;0.00
SYNCOPE;13;0.91;0.08;0.62;Random Forest;no feature selection;sensitive learning;no resample;1.00;0.00;283.00;464.00;1.00;0.00;0.85;0.00
SYNCOPE;14;0.92;0.13;0.70;Random Forest;no feature selection;sensitive learning;no resample;460.00;12.00;215.00;74.00;0.97;0.86;0.93;0.75
SYNCOPE;15;0.93;0.17;0.04;Random Forest;no feature selection;sensitive learning;no resample;32.00;491.00;238.00;0.00;0.06;1.00;0.67;0.04
SYNCOPE;16;0.95;0.16;0.03;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;545.00;15.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.93;0.16;0.72;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;214.00;549.00;0.00;0.00;0.00;0.00
SYNCOPE;18;0.94;0.19;0.62;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;293.00;470.00;0.00;0.00;0.00;0.00
SYNCOPE;19;0.93;0.22;0.81;Random Forest;no feature selection;sensitive learning;no resample;17.00;0.00;169.00;687.00;1.00;0.02;0.96;0.01
SYNCOPE;20;0.94;0.26;0.82;Random Forest;no feature selection;sensitive learning;no resample;641.00;0.00;165.00;87.00;1.00;0.88;1.00;0.73
SYNCOPE;21;0.94;0.29;0.13;Random Forest;no feature selection;sensitive learning;no resample;90.00;643.00;137.00;29.00;0.12;0.76;0.53;-0.02
SYNCOPE;22;0.94;0.28;0.99;Random Forest;no feature selection;sensitive learning;no resample;2.00;5.00;8.00;887.00;0.29;0.00;0.00;-0.01
SYNCOPE;23;0.95;0.32;0.99;Random Forest;no feature selection;sensitive learning;no resample;888.00;0.00;5.00;11.00;1.00;0.99;1.00;0.47
SYNCOPE;24;0.95;0.36;1.00;Random Forest;no feature selection;sensitive learning;no resample;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;25;0.95;0.39;0.03;Random Forest;no feature selection;sensitive learning;no resample;23.00;889.00;0.00;0.00;0.03;1.00;0.42;0.00
SYNCOPE;26;0.93;0.37;0.01;Random Forest;no feature selection;sensitive learning;no resample;0.00;98.00;1327.00;13.00;0.00;0.00;0.00;0.00
SYNCOPE;27;0.93;0.35;0.01;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;1569.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.93;0.32;0.01;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.93;0.30;0.07;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;1593.00;118.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.93;0.29;0.01;Random Forest;no feature selection;sensitive learning;no resample;1.00;67.00;1670.00;13.00;0.01;0.07;0.75;0.01
MEAN;;;;;;;;;102.03;73.50;561.53;135.87;0.22;0.22;0.27;0.10
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.67;0.50;0.00;Random Forest;no feature selection;no sensitive;Oversampling;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.80;0.50;0.00;Random Forest;no feature selection;no sensitive;Oversampling;2.00;1.00;546.00;0.00;0.67;1.00;1.00;0.80
SYNCOPE;3;0.86;0.50;0.00;Random Forest;no feature selection;no sensitive;Oversampling;2.00;2.00;546.00;0.00;0.50;1.00;1.00;0.67
SYNCOPE;4;0.89;0.50;0.01;Random Forest;no feature selection;no sensitive;Oversampling;0.00;0.00;545.00;5.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.91;0.50;0.13;Random Forest;no feature selection;no sensitive;Oversampling;0.00;0.00;480.00;72.00;0.00;0.00;0.00;0.00
SYNCOPE;6;0.92;0.50;0.07;Random Forest;no feature selection;no sensitive;Oversampling;13.00;59.00;461.00;26.00;0.18;0.33;0.78;0.16
SYNCOPE;7;0.93;0.50;0.07;Random Forest;no feature selection;no sensitive;Oversampling;3.00;5.00;515.00;36.00;0.38;0.08;0.81;0.11
SYNCOPE;8;0.92;0.50;0.04;Random Forest;no feature selection;no sensitive;Oversampling;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.95;0.50;0.05;Random Forest;no feature selection;no sensitive;Oversampling;0.00;0.00;532.00;26.00;0.00;0.00;0.00;0.00
SYNCOPE;10;0.94;0.50;0.04;Random Forest;no feature selection;no sensitive;Oversampling;5.00;7.00;699.00;25.00;0.42;0.17;0.72;0.22
SYNCOPE;11;0.94;0.50;0.04;Random Forest;no feature selection;no sensitive;Oversampling;0.00;5.00;707.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.95;0.50;0.48;Random Forest;no feature selection;no sensitive;Oversampling;27.00;3.00;386.00;327.00;0.90;0.08;0.59;0.07
SYNCOPE;13;0.95;0.50;0.62;Random Forest;no feature selection;no sensitive;Oversampling;28.00;13.00;270.00;437.00;0.68;0.06;0.76;0.01
SYNCOPE;14;0.95;0.50;0.70;Random Forest;no feature selection;no sensitive;Oversampling;490.00;118.00;109.00;44.00;0.81;0.92;0.79;0.44
SYNCOPE;15;0.95;0.50;0.04;Random Forest;no feature selection;no sensitive;Oversampling;32.00;575.00;154.00;0.00;0.05;1.00;0.59;0.02
SYNCOPE;16;0.97;0.50;0.03;Random Forest;no feature selection;no sensitive;Oversampling;1.00;2.00;543.00;14.00;0.33;0.07;0.86;0.10
SYNCOPE;17;0.96;0.50;0.72;Random Forest;no feature selection;no sensitive;Oversampling;7.00;1.00;213.00;542.00;0.88;0.01;0.65;0.00
SYNCOPE;18;0.96;0.50;0.62;Random Forest;no feature selection;no sensitive;Oversampling;20.00;74.00;219.00;450.00;0.21;0.04;0.55;-0.17
SYNCOPE;19;0.96;0.50;0.81;Random Forest;no feature selection;no sensitive;Oversampling;495.00;13.00;156.00;209.00;0.97;0.70;0.91;0.43
SYNCOPE;20;0.96;0.50;0.82;Random Forest;no feature selection;no sensitive;Oversampling;722.00;35.00;130.00;6.00;0.95;0.99;0.91;0.84
SYNCOPE;21;0.96;0.50;0.13;Random Forest;no feature selection;no sensitive;Oversampling;93.00;660.00;120.00;26.00;0.12;0.78;0.50;-0.02
SYNCOPE;22;0.96;0.50;0.99;Random Forest;no feature selection;no sensitive;Oversampling;34.00;1.00;12.00;855.00;0.97;0.04;0.10;-0.00
SYNCOPE;23;0.96;0.50;0.99;Random Forest;no feature selection;no sensitive;Oversampling;891.00;0.00;5.00;8.00;1.00;0.99;1.00;0.55
SYNCOPE;24;0.96;0.50;1.00;Random Forest;no feature selection;no sensitive;Oversampling;907.00;2.00;2.00;0.00;1.00;1.00;1.00;0.67
SYNCOPE;25;0.96;0.50;0.03;Random Forest;no feature selection;no sensitive;Oversampling;21.00;888.00;1.00;2.00;0.02;0.91;0.44;-0.00
SYNCOPE;26;0.94;0.50;0.01;Random Forest;no feature selection;no sensitive;Oversampling;3.00;279.00;1146.00;10.00;0.01;0.23;0.56;0.00
SYNCOPE;27;0.94;0.50;0.01;Random Forest;no feature selection;no sensitive;Oversampling;0.00;45.00;1524.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.95;0.50;0.01;Random Forest;no feature selection;no sensitive;Oversampling;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.95;0.50;0.07;Random Forest;no feature selection;no sensitive;Oversampling;1.00;1.00;1592.00;117.00;0.50;0.01;0.65;0.01
SYNCOPE;30;0.95;0.50;0.01;Random Forest;no feature selection;no sensitive;Oversampling;13.00;1063.00;674.00;1.00;0.01;0.93;0.70;0.01
MEAN;;;;;;;;;127.00;128.40;506.63;110.90;0.39;0.38;0.53;0.16
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.67;0.50;0.00;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.80;0.50;0.00;Random Forest;no feature selection;threshold;Oversampling;2.00;1.00;546.00;0.00;0.67;1.00;1.00;0.80
SYNCOPE;3;0.86;0.50;0.00;Random Forest;no feature selection;threshold;Oversampling;2.00;2.00;546.00;0.00;0.50;1.00;1.00;0.67
SYNCOPE;4;0.89;0.50;0.01;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;545.00;5.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.91;0.50;0.13;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;480.00;72.00;0.00;0.00;0.00;0.00
SYNCOPE;6;0.92;0.50;0.07;Random Forest;no feature selection;threshold;Oversampling;0.00;4.00;516.00;39.00;0.00;0.00;0.00;0.00
SYNCOPE;7;0.93;0.50;0.07;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;520.00;39.00;0.00;0.00;0.00;0.00
SYNCOPE;8;0.92;0.50;0.04;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.95;0.50;0.05;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;532.00;26.00;0.00;0.00;0.00;0.00
SYNCOPE;10;0.94;0.50;0.04;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;706.00;30.00;0.00;0.00;0.00;0.00
SYNCOPE;11;0.94;0.50;0.04;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;712.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.95;0.50;0.48;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;389.00;354.00;0.00;0.00;0.00;0.00
SYNCOPE;13;0.95;0.50;0.62;Random Forest;no feature selection;threshold;Oversampling;1.00;0.00;283.00;464.00;1.00;0.00;0.50;0.00
SYNCOPE;14;0.95;0.50;0.70;Random Forest;no feature selection;threshold;Oversampling;465.00;45.00;182.00;69.00;0.91;0.87;0.84;0.65
SYNCOPE;15;0.95;0.50;0.04;Random Forest;no feature selection;threshold;Oversampling;32.00;517.00;212.00;0.00;0.06;1.00;0.65;0.03
SYNCOPE;16;0.97;0.50;0.03;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;545.00;15.00;0.00;0.00;0.00;0.00
