VersionID,VersionName,Path,Size,LOC_Touched,AVGLocAdded,LocAdded,MaxLocAdded,ChgSetSize,MaxChgSetSize,AVGChgSetSize,NumRevisions,NumBugFixed,NAuth,Age,Buggyness
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/PreferenceManager.java,122,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java,70,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java,34,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/SearchCondWrapper.java,64,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/SelectChoiceRenderer.java,17,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/SelectOption.java,40,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/SortableDataProviderComparator.java,35,12,2.0,6,2,734,442,244,3,0,2,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/SortableUserProviderComparator.java,44,30,5.0,17,7,734,442,244,3,0,2,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/StatusBean.java,28,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/StatusUtils.java,126,288,12.0,144,14,1732,451,144,12,0,3,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/UserDataProvider.java,57,48,8.0,24,8,734,442,244,3,0,2,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/XMLRolesReader.java,58,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/markup/html/CrontabContainer.java,119,6,1.0,3,1,900,451,300,3,0,2,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java,78,149,14.0,88,35,1030,451,171,6,0,4,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java,21,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/ApprovalModalPage.java,156,135,18.0,75,30,953,451,238,4,0,2,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java,22,85,8.0,33,23,974,451,243,4,0,3,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/BasePage.java,139,129,14.0,44,42,952,451,317,3,0,2,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/Configuration.java,499,72,7.0,36,12,850,442,170,5,0,3,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/ConfigurationModalPage.java,68,103,10.0,60,23,1074,451,153,7,0,4,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java,309,112,8.0,61,21,1094,451,156,7,0,3,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/DerivedSchemaModalPage.java,73,79,8.0,48,20,1069,451,178,6,0,3,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/DisplayAttributesModalPage.java,202,87,9.0,48,18,981,451,196,5,0,3,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java,49,36,6.0,19,7,734,442,244,3,0,2,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/ErrorPage.java,14,0,0.0,0,0,0,0,0,0,0,0,0,false
