Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
SYNCOPE;6;0.86;0.02;0.07;Random Forest;Best First;no resample;14.00;32.00;489.00;24.00;0.30;0.37;0.76;0.28
SYNCOPE;7;0.87;0.03;0.07;Random Forest;Best First;no resample;10.00;8.00;513.00;28.00;0.56;0.26;0.68;0.33
SYNCOPE;8;0.86;0.04;0.04;Random Forest;Best First;no resample;5.00;23.00;685.00;22.00;0.18;0.19;0.72;0.15
SYNCOPE;9;0.90;0.04;0.04;Random Forest;Best First;no resample;0.00;0.00;533.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;10;0.89;0.04;0.04;Random Forest;Best First;no resample;8.00;12.00;694.00;22.00;0.40;0.27;0.86;0.30
SYNCOPE;11;0.90;0.04;0.04;Random Forest;Best First;no resample;2.00;2.00;710.00;25.00;0.50;0.07;0.57;0.12
SYNCOPE;12;0.91;0.04;0.45;Random Forest;Best First;no resample;1.00;1.00;407.00;334.00;0.50;0.00;0.49;0.00
SYNCOPE;13;0.91;0.08;0.60;Random Forest;Best First;no resample;137.00;12.00;285.00;314.00;0.92;0.30;0.81;0.22
SYNCOPE;14;0.92;0.12;0.64;Random Forest;Best First;no resample;426.00;53.00;219.00;63.00;0.89;0.87;0.91;0.67
SYNCOPE;15;0.93;0.16;0.04;Random Forest;Best First;no resample;31.00;509.00;221.00;0.00;0.06;1.00;0.70;0.03
SYNCOPE;16;0.95;0.15;0.03;Random Forest;Best First;no resample;3.00;4.00;542.00;11.00;0.43;0.21;0.83;0.27
SYNCOPE;17;0.93;0.15;0.64;Random Forest;Best First;no resample;21.00;0.00;272.00;470.00;1.00;0.04;0.72;0.03
SYNCOPE;18;0.94;0.18;0.62;Random Forest;Best First;no resample;0.00;4.00;289.00;470.00;0.00;0.00;0.00;0.00
SYNCOPE;19;0.93;0.21;0.81;Random Forest;Best First;no resample;548.00;1.00;168.00;156.00;1.00;0.78;0.95;0.57
SYNCOPE;20;0.94;0.25;0.82;Random Forest;Best First;no resample;695.00;0.00;165.00;33.00;1.00;0.95;0.99;0.89
SYNCOPE;21;0.94;0.28;0.13;Random Forest;Best First;no resample;88.00;642.00;139.00;30.00;0.12;0.75;0.47;-0.02
SYNCOPE;22;0.94;0.27;1.00;Random Forest;Best First;no resample;744.00;0.00;0.00;156.00;1.00;0.83;0.00;0.00
SYNCOPE;23;0.95;0.32;0.99;Random Forest;Best First;no resample;889.00;13.00;0.00;0.00;0.99;1.00;0.00;0.00
SYNCOPE;24;0.95;0.35;0.99;Random Forest;Best First;no resample;890.00;0.00;5.00;9.00;1.00;0.99;1.00;0.52
SYNCOPE;25;0.95;0.38;1.00;Random Forest;Best First;no resample;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;26;0.95;0.41;0.03;Random Forest;Best First;no resample;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;27;0.93;0.40;0.01;Random Forest;Best First;no resample;0.00;2.00;1424.00;12.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.96;0.37;0.00;Random Forest;Best First;no resample;0.00;0.00;914.00;0.00;1.00;1.00;0.00;0.00
SYNCOPE;29;0.93;0.35;0.00;Random Forest;Best First;no resample;0.00;11.00;1559.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.96;0.33;0.00;Random Forest;Best First;no resample;0.00;0.00;915.00;0.00;1.00;1.00;0.00;0.00
SYNCOPE;31;0.94;0.32;0.01;Random Forest;Best First;no resample;0.00;0.00;1658.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;175.61;71.61;499.35;74.55;0.48;0.42;0.45;0.18
;
SYNCOPE;1;0.67;0.50;0.00;Random Forest;Best First;Oversampling;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.80;0.50;0.00;Random Forest;Best First;Oversampling;1.00;0.00;548.00;0.00;1.00;1.00;1.00;1.00
SYNCOPE;3;0.86;0.50;0.00;Random Forest;Best First;Oversampling;1.00;1.00;548.00;0.00;0.50;1.00;1.00;0.67
SYNCOPE;4;0.89;0.50;0.01;Random Forest;Best First;Oversampling;1.00;1.00;545.00;3.00;0.50;0.25;0.62;0.33
SYNCOPE;5;0.91;0.50;0.13;Random Forest;Best First;Oversampling;3.00;3.00;478.00;68.00;0.50;0.04;0.52;0.06
SYNCOPE;6;0.92;0.50;0.07;Random Forest;Best First;Oversampling;19.00;175.00;346.00;19.00;0.10;0.50;0.66;0.06
SYNCOPE;7;0.93;0.50;0.07;Random Forest;Best First;Oversampling;3.00;5.00;516.00;35.00;0.38;0.08;0.88;0.11
SYNCOPE;8;0.92;0.50;0.04;Random Forest;Best First;Oversampling;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.95;0.50;0.04;Random Forest;Best First;Oversampling;3.00;4.00;529.00;22.00;0.43;0.12;0.84;0.17
SYNCOPE;10;0.94;0.50;0.04;Random Forest;Best First;Oversampling;8.00;9.00;697.00;22.00;0.47;0.27;0.74;0.32
SYNCOPE;11;0.94;0.50;0.04;Random Forest;Best First;Oversampling;0.00;4.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.95;0.50;0.45;Random Forest;Best First;Oversampling;2.00;1.00;407.00;333.00;0.67;0.01;0.57;0.00
SYNCOPE;13;0.95;0.50;0.60;Random Forest;Best First;Oversampling;85.00;29.00;268.00;366.00;0.75;0.19;0.57;0.08
SYNCOPE;14;0.95;0.50;0.64;Random Forest;Best First;Oversampling;437.00;108.00;164.00;52.00;0.80;0.89;0.90;0.52
SYNCOPE;15;0.95;0.50;0.04;Random Forest;Best First;Oversampling;31.00;531.00;199.00;0.00;0.06;1.00;0.69;0.03
SYNCOPE;16;0.97;0.50;0.03;Random Forest;Best First;Oversampling;10.00;285.00;261.00;4.00;0.03;0.71;0.54;0.02
SYNCOPE;17;0.96;0.50;0.64;Random Forest;Best First;Oversampling;28.00;3.00;269.00;463.00;0.90;0.06;0.58;0.03
SYNCOPE;18;0.96;0.50;0.62;Random Forest;Best First;Oversampling;0.00;2.00;291.00;470.00;0.00;0.00;0.00;0.00
SYNCOPE;19;0.96;0.50;0.81;Random Forest;Best First;Oversampling;488.00;1.00;168.00;216.00;1.00;0.69;0.98;0.46
SYNCOPE;20;0.96;0.50;0.82;Random Forest;Best First;Oversampling;725.00;0.00;165.00;3.00;1.00;1.00;1.00;0.99
SYNCOPE;21;0.96;0.50;0.13;Random Forest;Best First;Oversampling;79.00;607.00;174.00;39.00;0.12;0.67;0.45;-0.04
SYNCOPE;22;0.96;0.50;1.00;Random Forest;Best First;Oversampling;0.00;0.00;0.00;900.00;NaN;0.00;0.00;0.00
SYNCOPE;23;0.96;0.50;0.99;Random Forest;Best First;Oversampling;889.00;13.00;0.00;0.00;0.99;1.00;0.00;0.00
SYNCOPE;24;0.96;0.50;0.99;Random Forest;Best First;Oversampling;891.00;0.00;5.00;8.00;1.00;0.99;1.00;0.55
SYNCOPE;25;0.96;0.50;1.00;Random Forest;Best First;Oversampling;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;26;0.96;0.50;0.03;Random Forest;Best First;Oversampling;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;27;0.94;0.50;0.01;Random Forest;Best First;Oversampling;1.00;169.00;1257.00;11.00;0.01;0.08;0.51;-0.00
SYNCOPE;28;0.97;0.50;0.00;Random Forest;Best First;Oversampling;0.00;0.00;914.00;0.00;1.00;1.00;0.00;0.00
SYNCOPE;29;0.95;0.50;0.00;Random Forest;Best First;Oversampling;0.00;27.00;1543.00;7.00;0.00;0.00;0.00;0.00
